"1,000 Venture Capital Firms",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VC Firm,Website,Countries,Cities,Industries,Stages,Founded Year,Name of Founders,# of Investments,# of Exits,Min Check Size,Max Check Size,Funds Raised,Contact Information
,Sozo Ventures,https://sozo.ventures/,"USA, Japan","Redwood City, Tokyo","E-Commerce, Enterprise, Cloud, Fintech, IoT, Healthcare","Seed, Pre-Seed, Early Stage, Late Stage",2012,"Phil Wickham, Koichiro Nakamura",44,8,,,"$836,400,000",
,SP Ventures,https://spventures.com,United Kingdom,London,"Food & Beverage, Health & Wellness, Climate & Sustainability, Agriculture, Energy","Early Stage, Series A",2007,Francisco Jardim,33,3,"£100,000","£6,000,000","£118,400,000",contato@spventures.com.br
,Space Capital,https://spacecapital.com,USA,New York,Aerospace & Space,"Seed, Late Stage, Early Stage",2017,Chad Anderson,70,7,,,"$264,000,000,000",
,Spark Capital,https://sparkcapital.com,USA,"San Francisco, New York, Boston","Consumer, Crypto & Blockchain, Enterprise, Hardware, Fintech, Marketplace","Seed, Pre-Seed, Series A",2005,"Bijan Sabet, Paul Conway, Santo Politi, Todd Dagres",507,91,"$500,000","$25,000,000","$3,800,000,000",contactus@sparkcapital.com
,Sparking Capital,https://sparkingcapital.com,Romania,Bucharest,"Consumer, Internet & Mobile, Marketing, Supply Chain & Logistics, Fintech, Proptech & Real Estate","Pre-Seed, Seed",2017,"Vlad Panait, Cristian Negrutiu",23,1,,"€300,000","€700,000",
,Sparklabs Ventures,http://www.sparklabs.co.kr/lb/index.php,South Korea,Seoul,"Enterprise, Cloud, Fintech, AI & ML, Hardware, IoT, E-Commerce, Media","Seed, Series A, Series B",2017,"Brian Kang, Chris Koh",72,10,"$1,000,000","$3,000,000",,info@sparklabs.co.kr
,Speciale Invest,https://specialeinvest.com,India,Chennai,"Enterprise, SaaS, Cloud, Developer Tools, Aerospace & Space, Robotics, Climate & Sustainability, Biotech, Gaming, Hardware, Deep Tech & Hard Science","Early Stage, Pre-Seed, Seed",2017,Vishesh Rajaram,38,4,,"$1,000,000","$642,000,000",info@specialeinvest.com
,Specialist VC,https://specialist.vc/,Estonia,Tallinn,"Enterprise, SaaS, Fintech, Hardware, Deep Tech & Hard Science","Pre-Seed, Seed, Series A",2017,"Riivo Anton, Gerri Kodres",45,6,"€250,000","€3,000,000","€50,000,000",contact@specialist.vc
,Speedinvest,https://speedinvest.com,"Germany, Austria, France, United Kingdom","Berlin, London, Munich, Paris, Vienna","Deep Tech & Hard Science, Fintech, Health & Wellness, Industrial, Marketplace, Consumer, SaaS, Climate & Sustainability, Crypto & Blockchain, Infrastructure","Early Stage, Seed, Pre-Seed",2011,"Daniel Keiper-Knorr, Erik Bovee, Michael Schuster, Oliver Holle, Werner Zahnt",361,21,"€700,000","€1,300,000","€628,400,000",office@speedinvest.com
,SpeedUp Venture Capital Group,https://speedupgroup.com/en/,Poland,Poznań,"Consumer, Internet & Mobile, IoT, Healthcare, Fintech, AI & ML, Hardware, Industrial, Marketing, Advertising","Seed, Series A, Series B",2009,Arkadiusz Piechocki,101,4,"€50,000","€4,000,000","€10,000,000",info@speedupgroup.com
,Spero Ventures,https://spero.vc,USA,"San Mateo, San Francisco","Big Data & Analytics, Education, Media, InsurTech, Marketplace, AI & ML, Health & Wellness, SaaS","Seed, Series A, Series B",2018,Shripriya Mahesh,48,10,"$2,000,000","$4,000,000","$100,000,000",ha@spero.vc
,Spintop Ventures,https://spintopventures.com,"Sweden, Finland, United Kingdom","Helsinki, London, Stockholm","SaaS, E-Commerce",Early Stage,2009,Finn Persson,64,16,,,"$4,000,000",finn.persson@spintopventures.com
,Split Rock Partners,https://splitrock.com/,USA,Eden Prairie,"Cloud, Big Data & Analytics, Enterprise, SaaS","Early Stage, Late Stage",2004,"Michael Gorman, Jim Simons",218,105,,,"$575,000,000",+1 (952)-995-7474
,Springtide Ventures,http://www.springtide.cz/,"Czechia, Israel, USA","Prague, Boston, Tel Aviv-Yafo","Healthcare, Health & Wellness","Seed, Series A, Series B, Series C",2014,David Marek,19,7,"$1,000,000","$10,000,000","$36,700,000",info@springtide.cz
,SpringTime Ventures,https://springtimeventures.com,USA,Colorado Springs,"Healthcare, Fintech, Supply Chain & Logistics, Marketplace",Seed,2017,"Matt Blomstedt, Rich Maloy, Rick Patch",33,2,"$400,000","$600,000",,rich@springtimeventures.com
,Squadra,https://www.squadra.vc/,USA,Baltimore,"Cybersecurity, Enterprise","Seed, Series A",2019,Guy Filippelli,9,,"$1,000,000","$3,000,000",,info@squadra.vc
,Square Peg Capital,https://www.squarepegcap.com/,"Australia, Singapore, Israel","Sydney, Melbourne, Singapore, Tel Aviv-Yafo","Healthcare, Fintech, Consumer, Climate & Sustainability, SaaS, Cybersecurity, Marketplace, E-Commerce, Cloud, Enterprise, DTC, Education, Agriculture, Marketing","Series A, Series B, Seed",2012,"Barry Brott, Justin Liberman, Paul Bassat, Tony Holt",114,12,,"$2,000,000","$1,000,000,000",
,Stadia Ventures,http://www.stadiaventures.com/,USA,Saint-Louis,"Big Data & Analytics, Gaming, AI & ML, Health & Wellness, Sports, SaaS",Seed,2015,"Art Chou, Tim Hayden",82,17,,"$100,000","$130,000,000",thayden@stadiaventures.com
,Standout Capital,https://standoutcapital.com,Sweden,Stockholm,"Enterprise, SaaS",Growth,2014,"Erik Wästlund, Fredrik Arnander, Klas Hillström",10,6,,,,info@standoutcapital.com
,Starting Line,https://startingline.vc,USA,Chicago,"Creator Economy, DTC, Consumer, E-Commerce, Marketplace, Crypto & Blockchain, Fintech",Seed,2018,Ezra Galston,60,3,,,"$30,000,000",
,Starttech Ventures,https://starttech.vc,"Greece, USA","Athens, San Francisco","SaaS, AR & VR, Big Data & Analytics, Healthcare, Marketing",Early Stage,2012,"Dimitris Tsingos, Vangelis Mihalopoulos, Katerina Kastriti",19,1,,,"$4,000,000",info@starttech.vc
,Startup Bangladesh Ltd,https://www.startupbangladesh.vc/,Bangladesh,Dhaka,"Healthcare, E-Commerce, Supply Chain & Logistics, Consumer, Food & Beverage, Transportation, Fintech, Enterprise, Entertainment, DTC, IoT, SaaS","Early Stage, Late Stage, Seed",2020,Tina F. Jabeen,16,,"$50,000","$300,000","$5,000,000",info@startupbangladeshvc.gov.bd
,Startup Funding Club,https://sfccapital.com/,United Kingdom,Northwich,"Food & Beverage, Internet & Mobile, Life Sciences, Marketplace, Media, Entertainment, Biotech, DTC","Seed, Early Stage, Series A",2012,Stephen Page,385,11,"£100,000","£300,000","£14,100,000",info@sfccapital.com
,Startuplab,https://startuplab.no/,Norway,"Oslo, Bergen","Hardware, Transportation, Big Data & Analytics, Energy","Early Stage, Seed",2012,Alexander Woxen,136,1,"$100,000","$300,000","$20,200,000",hello@startuplab.no
,Stonebridge Ventures,https://www.stonebridge.co.kr/venture-capital,South Korea,Seoul,"Enterprise, Biotech, Healthcare, Fintech, SaaS","Early Stage, Seed, Late Stage",2008,Dean Geehun Kim,108,16,,,"$187,000,000",info@stonebridge.co.kr
,Story Ventures,https://storyventures.vc,USA,New York,"Automation, AI & ML, Robotics",Early Stage,2016,"Brian Yormak, Jacob Yormak",42,2,"$100,000","$10,000,000","$30,000,000",helloworld@storyventures.vc
,Stray Dog Capital,https://straydogcapital.com,USA,Leawood,"Food & Beverage, Biotech, Climate & Sustainability, DTC, Life Sciences","Seed, Early Stage, Series A",2013,"Chuck Laue, Jennifer Laue",59,7,,,"$25,600,000",social@straydogcapital.com
,Stride VC,https://stride.vc/,United Kingdom,London,"SaaS, Marketplace, Enterprise, Travel & Hospitality, Productivity, Media","Seed, Pre-Seed",2018,Fred Destin,44,1,"£250,000","£2,000,000","£100,000,000",
,Stripes Group,https://www.stripes.co/,USA,New York,"Consumer, SaaS, DTC, Productivity, Big Data & Analytics, Developer Tools","Series A, Series B, Late Stage, Early Stage",2008,Ken Fox,112,21,"$1,000,000","$25,000,000","$1,200,000,000",info@stripes.co
,Strive,https://strive.vc/en/,"Japan, Singapore","Tokyo, Singapore","Transportation, Travel & Hospitality, Marketplace","Seed, Early Stage, Series A, Series B",2011,Yusuke Amano,177,44,,,"$3,800,000",
,Sunstone Life Science Venture,https://sunstone.eu/,Denmark,Copenhagen,Life Sciences,"Series B, Series A",2007,Søren Lemonius,76,42,,,"€300,000,000",lifescience@sunstone.eu
,Super Hero Capital,https://superherocapital.com,Finland,Helsinki,"Health & Wellness, Healthcare, Marketplace, Education, Big Data & Analytics, Entertainment, Future of Work, SaaS, Sports","Early Stage, Seed",2015,"Jakob Storå, Juha Ruohonen, Jussi Harvela, Moaffak Ahmed",41,1,"€50,000","€1,000,000","€50,000,000",nexthero@superherocapital.com
,Sure Valley Ventures,https://surevalleyventures.com,"Ireland, United Kingdom","London, Cambridge, Dublin","AI & ML, Cybersecurity, IoT, Gaming, Sports, Crypto & Blockchain","Early Stage, Seed",2019,Phil Morrow,16,4,"£750,000","£1,500,000","£135,100,000",info@surevalleyventures.com
,SustainVC,https://sustainvc.com/,USA,"Boston, Durham, Philadelphia","Healthcare, Education, Climate & Sustainability, Transportation, Energy, Agriculture","Early Stage, Seed, Series A",2007,Schuyler Lance,38,12,"$500,000","$1,000,000","$500,000,000",info@SustainVC.com
,SV Investment,http://www.svinvestment.co.kr/,"USA, South Korea, China, Indonesia","Boston, Seoul, Shanghai, Shenzhen, Jakarta","Internet & Mobile, Consumer, Media, Healthcare, AI & ML, Enterprise, Life Sciences, Manufacturing","Early Stage, Late Stage, Seed",2006,Hong Won-Ho,220,48,,,,master@svinvest.com
,Swisscom Ventures,https://ventures.swisscom.com/,"Switzerland, USA","Zürich, Bern, Palo Alto, Lausanne","Cloud, Deep Tech & Hard Science, Cybersecurity, Fintech, Big Data & Analytics, AI & ML","Early Stage, Late Stage",2007,Dominique Megret,133,40,"$1,000,000",,"$199,400,000",info.startup@swisscom.com
,SWS Venture Capital,https://swsventurecap.com,USA,Pasadena,"Consumer, Fintech, Crypto & Blockchain, Healthcare, Supply Chain & Logistics, Food & Beverage","Early Stage, Late Stage",2018,Steve Streit,18,7,,,,
,Synthesis Capital,https://synthesis.capital/,United Kingdom,London,"Food & Beverage, Climate & Sustainability, Biotech","Early Stage, Late Stage, Seed",2014,Costa Yiannoulis,35,1,,"£15,000,000","£300,000,000",contact@synthesis.capital
,TA Venture,https://taventures.vc,"Germany, Cyprus","Frankfurt, Zürich, Kyiv, Nicosia","Mobility, Healthcare, Enterprise, Consumer, Supply Chain & Logistics, Fintech, SaaS, Industrial","Early Stage, Seed",2010,Viktoriya Tigipko,224,86,"$100,000","$1,000,000","$75,000,000",info@taventures.vc
,TAQNIA,http://www.riyadtaqnia.com/,Saudi Arabia,Riyadh,"E-Commerce, Consumer, Fintech, Supply Chain & Logistics","Seed, Series A, Series B",2016,Hani Enaya,21,2,,,"$5,600,000",rtfund@riyadcapital.com
,TBT Partners,http://en.tbt.partners/,South Korea,Seoul,"Consumer, Social, Entertainment, Media, Creator Economy, Internet & Mobile, DTC","Early Stage, Series A",2018,Ram Lee,8,,,,"$240,000,000",info@tbt.partners
,TDJ Pitango,https://tdjpitango.com/,Poland,Warsaw,"AI & ML, Big Data & Analytics, Healthcare, Media, Internet & Mobile, IoT, SaaS, Enterprise","Seed, Series A, Series B, Series C, Growth, Early Stage",2017,Wojciech Fedorowicz,18,2,"$100,000","$5,000,000","$22,000,000",kontakt@tdjpitango.com
,Technology Crossover Ventures,https://www.tcv.com/,"USA, United Kingdom","London, New York, San Francisco","E-Commerce, Media, Enterprise, Entertainment, Proptech & Real Estate, Travel & Hospitality, Education, Marketing, Legal, Advertising","Late Stage, Series A, Series B, Growth",1995,"Jay Hoag, Rick Kimball",393,194,"$30,000,000","$400,000,000","$20,100,000,000",ir@tcv.com
,Techstars,https://techstars.com,"Israel, USA, India, China","San Francisco, Mumbai, Hong Kong, Shanghai, Herẕliyya, New York","Advertising, Aerospace & Space, Agriculture, AI & ML, Biotech, Crypto & Blockchain, Climate & Sustainability, Cloud, Consumer, Cybersecurity, SaaS, Big Data & Analytics, Developer Tools, E-Commerce, Education, Energy, Enterprise, Entertainment, Fintech, Sports, Food & Beverage, Future of Work, Gaming, Government Technology, Hardware, Health & Wellness, Healthcare, Human Resources, Infrastructure, Legal, IoT, Life Sciences, Manufacturing, Marketplace, Media, Mobility, Productivity, Proptech & Real Estate, Robotics, Marketing, Supply Chain & Logistics, Transportation, AR & VR, Travel & Hospitality","Pre-Seed, Seed",1989,Samuel Isaly,4116,951,"$20,000","$100,000","$108,000,000",help@techstars.com
,Tekfen Ventures,https://tekfenventures.com,USA,New York,"Proptech & Real Estate, Hardware, Life Sciences, Manufacturing, Agriculture, SaaS","Early Stage, Series A, Series B",2016,"Kris Kemeny, Sinan Uzan",23,2,,,"$3,400,000,000",hi@tekfenventures.com
,Televenture,https://televenture.no,Norway,Oslo,"Industrial, Consumer, Healthcare, Marketplace, SaaS, Oil & Gas, Marine","Early Stage, Late Stage",1993,Rune Rinnan,26,20,"$500,000","$5,000,000",,post@televenture.no
,Telstra Ventures,https://telstraventures.com,"USA, Australia, United Kingdom, China","San Francisco, Sydney, Shanghai, Melbourne, London","Cloud, Consumer, Media, Internet & Mobile, SaaS, Fintech, Big Data & Analytics, IoT, Cybersecurity","Early Stage, Late Stage",2011,"Mark Sherman, Matthew Koertge",112,26,"$3,000,000","$12,000,000","$565,000,000",info@telstraventures.com
,Tenaya Capital,https://tenayacapital.com,USA,Palo Alto,"Enterprise, Consumer, Developer Tools, Cloud, SaaS, Marketplace, AI & ML, IoT, E-Commerce","Series B, Series C",2009,Brian Paul,184,64,"$5,000,000","$20,000,000","$822,000,000",info@tenayacapital.com
,Tencent,https://www.tenx.tc/,China,Shenzhen,"Climate & Sustainability, Healthcare, Automation, Robotics",,1998,Huateng Ma,659,,,,"$12,600,000,000",exploreinvestments@tencent.com
,TenOneTen,https://www.tenoneten.net/,USA,Los Angeles,"Big Data & Analytics, Supply Chain & Logistics, SaaS",Early Stage,2011,"David Waxman, Gil Elbaz",160,52,"$500,000","$1,000,000","$68,000,000",
,Tera Capital,https://tera-capital.com,"Singapore, China, Peru","Beijing, Shanghai, Singapore, Lima","Proptech & Real Estate, Media, Government Technology, E-Commerce, Travel & Hospitality",Other,2003,Ted Fang,1,,,,,enquiry@tera-capital.com
,Tera Ventures,https://www.tera.vc/,"Estonia, United Kingdom, Finland","Tallinn, London, Helsinki","Fintech, Automation, AI & ML","Pre-Seed, Seed",2016,"Andrus Oks, Stanislav Ivanov",30,8,,,"€67,500,000",tera@tera.vc
,Teuza,https://teuzafund.com,Israel,Haifa,"Healthcare, Industrial, SaaS",Early Stage,1992,Avi Kerbs,7,,"$500,000","$5,000,000",,teuza@teuzafund.com
,Texas Atlantic Capital,https://www.ta.capital/,"USA, Germany","Houston, Munich","Cloud, Big Data & Analytics, SaaS, E-Commerce, Media","Early Stage, Growth, Late Stage",2010,Dr. Marcus Englert,50,31,,,"$7,000,000",contact@ta.capital
,The Artemis Fund,https://theartemisfund.com,USA,Houston,"Fintech, E-Commerce, Infrastructure, Health & Wellness",Seed,2019,Stephanie Campbell,26,1,,,"$15,000,000",
,The Column Group,https://thecolumngroup.com,USA,San Francisco,"Biotech, Life Sciences, Healthcare",Late Stage,2007,Peter Svennilson,100,18,,,"$2,000,000,000",info@thecolumngroup.com
,The House Fund,https://thehouse.fund/,USA,Berkeley,"AI & ML, Crypto & Blockchain, Productivity, Media, Healthcare","Early Stage, Seed, Pre-Seed",2016,Jeremy Fiance,80,12,"$500,000","$1,000,000","$4,000,000,000",build@thehouse.fund
,The Venture City,https://www.theventure.city/,"USA, Spain","Miami, Madrid","Fintech, Advertising, Media, Marketing, SaaS, Mobility, Marketplace, Sports, Travel & Hospitality, Cybersecurity, Health & Wellness, Proptech & Real Estate, E-Commerce, Supply Chain & Logistics, Productivity, Gaming","Pre-Seed, Seed, Series A",2017,Laura González-Estéfani,123,11,"$100,000","$4,000,000","$125,000,000",hello@theventure.city
,Theodorus,https://www.theodorus.be/,"Belgium, Canada","Montréal, Brussels","Biotech, Healthcare","Seed, Series A",2003,Olivier Belenger,22,2,"€250,000","€2,500,000","€70,000,000",info@theodorus.be
,Third Rock Ventures,https://thirdrockventures.com,USA,"Boston, San Francisco","Biotech, Healthcare","Seed, Series A, Series B",2007,"Kevin Starr, Mark Levin, Robert Tepper",123,34,,,"$3,400,000,000",info@thirdrockventures.com
,Thrive Capital,https://thrivecap.com,USA,New York,"Internet & Mobile, SaaS, Fintech, InsurTech, Developer Tools, Cybersecurity, Crypto & Blockchain","Seed, Early Stage, Late Stage",2009,Joshua Kushner,324,77,,,"$7,300,000,000",info@thrivecap.com
,Tidal,https://www.tidalvc.com/,"Australia, USA","Sydney, New York","Enterprise, SaaS, API, Cybersecurity",Seed,2016,"Andrea Kowalski, Grant McCarthy, Murray Bleach, Wendell Keuneman",26,0,"$250,000","$5,000,000","$40,000,000",
,Tiger Global Management,https://www.tigerglobal.com/,"USA, China, India, Singapore","New York, Hong Kong, Beijing, Singapore, Bangalore","Internet & Mobile, Consumer, Fintech, SaaS","Late Stage, Series B, Series C",2001,Chase Coleman,1092,131,,,"$36,100,000,000",+1 (212) 843-8030
,TLcom,https://tlcomcapital.com/,"Nigeria, Kenya, United Kingdom","Lagos, Nairobi, London","Media, Internet & Mobile, DTC, Supply Chain & Logistics, Transportation, Education, InsurTech, Healthcare, Automative","Early Stage, Late Stage",1999,Maurizio Caio,29,15,"$500,000","$10,000,000","$300,000,000",info@tlcomcapital.com
,Touch Ventures,https://touchventures.com,Australia,Sydney,"Consumer, Fintech, Big Data & Analytics, DTC","Late Stage, Growth",2019,Hein Vogel,8,,"$10,000,000","$25,000,000",,
,Town Hall Ventures,https://townhallventures.com,USA,"New York, Los Angeles",Healthcare,"Early Stage, Late Stage",2018,"Andy Slavitt, David Mishkin, David Whelan, Lauren Robb, Trevor Price",33,2,,,"$375,000,000",ir@townhallventures.com
,Trind VC,https://trind.vc,"Estonia, Finland, Germany, Latvia","Tallinn, Helsinki, Munich, Riga","Education, Entertainment, Productivity, Media, SaaS","Early Stage, Seed, Pre-Seed",1999,"Ivar Siimar, Taavi Lepmets",54,20,"€400,000","€2,000,000","€23,000,000",trind@trind.vc
,Trinity Ventures,https://trinityventures.com,USA,San Francisco,"Consumer, Developer Tools, Industrial, Cloud, Deep Tech & Hard Science","Seed, Series A, Series B",1986,Noel Fenton,464,142,"$500,000","$6,000,000","$2,200,000,000",info@trinityventures.com
,TRK Group,http://www.trkgroup.no/,Norway,Oslo,"Marketplace, Industrial, Enterprise, Healthcare, DTC",Early Stage,2015,Trond Riiber Knudsen,173,26,,,,trond@trkgroup.no
,True Growth Capital,https://truegrowth.de,Germany,Berlin,"Consumer, Enterprise, Healthcare, SaaS, Supply Chain & Logistics, Fintech","Early Stage, Seed, Pre-Seed",2018,"Marco Vietor, Paul Crusius",15,1,"€100,000","€500,000",,
,True Ventures,https://trueventures.com,USA,"Palo Alto, San Francisco","Education, Consumer, Media, Internet & Mobile, Cloud, Marketplace, Food & Beverage, Cybersecurity, Hardware, Automation, SaaS","Seed, Series A, Early Stage",2005,Jon Callaghan,707,183,"$1,000,000","$3,000,000","$2,000,000,000",
,TTV Capital,https://ttvcapital.com,USA,Atlanta,Fintech,Early Stage,2000,"W. Thomas Smith Jr. , Gardiner W. Garrard",151,36,,"$3,000,000","$300,000,000",info@ttvcapital.com
,Tuesday Capital,https://tuesday.vc,USA,San Francisco,"Big Data & Analytics, AI & ML, Automation, Climate & Sustainability, Crypto & Blockchain, Future of Work, InsurTech, SaaS, Internet & Mobile, Marketplace, Deep Tech & Hard Science","Early Stage, Seed",2018,"Michael Arrington, Patrick Gallagher",313,155,"$1,000,000","$10,000,000","$59,000,000",partners@crunchfund.com
,TVV Capital,https://tvvcapital.com/,USA,Nashville,"Consumer, Government Technology, Food & Beverage, Climate & Sustainability, Life Sciences, Healthcare, Hardware, Agriculture, Automative, Sports",Growth,1997,Andrew Byrd,15,8,,,"$3,020,000",+1 (615)-256-8061
,Two Sigma Ventures,https://twosigmaventures.com,USA,New York,"Biotech, Consumer, Enterprise, Fintech, Crypto & Blockchain","Seed, Series A, Series B",2012,Dan Abelon,187,33,"$8,000,000","$12,000,000","$288,000,000",
,Type One Ventures,https://type1ventures.com,USA,San Francisco,"Aerospace & Space, Robotics, SaaS, Fintech, AI & ML, Health & Wellness","Seed, Series A",2019,Tarek Waked,17,1,,,"$34,000,000",tarek@typeone.vc
,U.S. Venture Partners,https://usvp.com,USA,San Francisco,"Healthcare, SaaS, Cloud, Consumer, Cybersecurity","Early Stage, Seed, Series A, Series B",1981,"Bill Bowes, David Liddle",559,156,"$1,000,000","$10,000,000","$4,200,000,000",contact@usvp.com
,Union Square Ventures,https://usv.com,USA,New York,"Climate & Sustainability, Consumer, Crypto & Blockchain, Education, Enterprise, Fintech, Food & Beverage, Hardware, Health & Wellness, AI & ML, Media, Proptech & Real Estate, Future of Work, Developer Tools, DTC, Creator Economy, Gaming, InsurTech, Marketplace, Social, Transportation, Advertising, Infrastructure","Seed, Series A, Series B, Series C",2003,"Brad Burnham, Fred Wilson",396,54,"$500,000","$5,000,000","$2,500,000,000",info@unionsquareventures.com
,United Angels VC,https://unitedangels.vc/,Estonia,Tallinn,"SaaS, Fintech, Marketplace","Pre-Seed, Seed, Series A, Early Stage",2017,"Riivo Anton, Gerri Kodres",41,5,"€250,000","€3,000,000","€50,000,000",contact@unitedangels.vc
,Unitus Ventures,https://unitus.vc/,"India, USA","Seattle, Bangalore","AI & ML, E-Commerce, Government Technology, Consumer, Healthcare, Education, Fintech","Seed, Early Stage",2012,Surya Mantha,84,18,"$300,000","$1,000,000","$38,400,000",+91 80957 50004
,Unknown Ventures,https://unknown.vc,USA,Austin,"Proptech & Real Estate, Media, Entertainment","Pre-Seed, Series A, Seed",2020,"Briggs Mitchell, Mitch Morales",15,,,,,info@unknown.vc
,Unusual Ventures,https://unusual.vc,USA,San Mateo,"AI & ML, Cybersecurity, SaaS, Developer Tools, Fintech, Marketplace","Pre-Seed, Series A, Seed",2018,"John Vrionis, Jyoti Bansal",95,5,"$1,000,000","$12,000,000","$1,000,000,000",info@unusual.vc
,UpHonest Capital,https://www.uphonestcapital.com/#/,USA,San Francisco,"Consumer, Enterprise, Deep Tech & Hard Science, Robotics, AI & ML, Cloud, Marketplace","Series A, Seed",2016,Wei Guo,177,63,,,"$160,300,000",
,V-Bio Ventures,https://v-bio.ventures/,Belgium,Gent,"Healthcare, Biotech","Series A, Series B",2015,"Christina Takke, Willem Broekaert",16,2,"€10,000,000","€50,000,000","€185,000,000",info@v-bio.ventures
,Valia Ventures,https://valia.vc,"USA, United Kingdom","London, New York, San Francisco","AI & ML, Biotech, Consumer, Big Data & Analytics, Deep Tech & Hard Science, Fintech, Healthcare, Marketplace, Robotics","Early Stage, Pre-Seed, Seed, Late Stage, Series B",2017,Khaled Jalanbo,38,3,"$50,000","$1,000,000","$50,000,000",khaled@valia.vc
,Valley Growth Ventures,http://www.valleygrowthventures.com/,USA,Youngstown,"Healthcare, Manufacturing, Energy, SaaS","Seed, Early Stage",2015,Ernie Knight,8,1,,,"$6,000,000",info@valleygrowthventures.com
,Valor Capital,https://valorcapitalgroup.com,"Brazil, USA","São Paulo, Rio de Janeiro, New York, San Francisco","Crypto & Blockchain, Fintech, Education, SaaS, Consumer, AI & ML, Healthcare, Enterprise","Early Stage, Late Stage, Seed",2011,"Ambassador Clifford Sobel, Scott Sobel",101,17,"$100,000","$5,000,000","$6,000,000,000",info@valorcapitalgroup.com
,Vanedge Capital,https://vanedgecapital.com,"Canada, USA","Vancouver, Waterloo, Toronto","Deep Tech & Hard Science, Cybersecurity, SaaS, Media, Biotech, IoT, Cloud, Big Data & Analytics","Early Stage, Series A",2010,"Glenn Entis, V. Paul Lee",56,13,"$2,000,000","$5,000,000","$297,100,000",info@vanedgecapital.com
,VantagePoint Venture Partners,https://vpcp.com/,"USA, China","Santa Barbara, Beijing","Cloud, Consumer, Hardware, Internet & Mobile, Media, Robotics, Healthcare, Energy, Automative","Early Stage, Late Stage, Seed",1996,"Alan Salzman, Jim Marver",269,94,,,"$550,000,000",+1 650-866-3100
,Velocity Partner,https://velocitypartners.vc/,Germany,Athens,"SaaS, Energy, Big Data & Analytics, AI & ML, Sports, Healthcare","Pre-Seed, Seed",2017,"Dimitris Kalavros-Gousiou, Konstantinos Mavros",22,3,,"€500,000","€259,000,000",start@velocitypartners.vc
,Venrock,https://venrock.com,USA,"New York, Boston, San Francisco","Consumer, Fintech, Healthcare, AI & ML, Robotics, Cloud, Cybersecurity, Biotech","Seed, Series A",1969,Laurance Rockefeller,783,267,,,"$4,100,000,000",publicrelations@venrock.com
,Ventech VC,https://ventechvc.com,"France, Finland, Germany, China","Paris, Helsinki, Munich, Shanghai","Consumer, Deep Tech & Hard Science, Hardware, Media, Enterprise, SaaS","Early Stage, Late Stage, Seed, Pre-Seed, Series A",1998,Ravi Kunduru,147,39,"€100,000","€10,000,000","€959,600,000",contact@ventech.vc
,Venture Friends,https://venturefriends.vc,Greece,Athens,"Proptech & Real Estate, Fintech, Travel & Hospitality, Marketplace, SaaS, Other","Seed, Series A",2016,"Apostolos Apostolakis, George Dimopoulos",50,9,"€300,000","€2,500,000",,info@venturefriends.vc
,Venture Souq,https://venturesouq.com,United Arab Emirates,Dubai,"Fintech, InsurTech, Agriculture, Climate & Sustainability, Education, Healthcare, Media, SaaS, Enterprise",Early Stage,2013,Sonia Gokhale,216,19,,,"$50,000,000",info@venturesouq.com
,Ventures Platform,https://venturesplatform.com,Nigeria,"Abuja, Lagos","InsurTech, Life Sciences, Enterprise, SaaS, Food & Beverage, Education, Infrastructure, Agriculture, Fintech, Healthcare","Pre-Seed, Seed, Series A",2016,Kola Aina,77,1,"$50,000","$100,000","$40,000,000",partners@venturesplatform.com
,Verdane,https://verdane.com,"Germany, Finland, Norway, United Kingdom, Denmark, Sweden","Berlin, Copenhagen, London, Stockholm, Helsinki, Asker","Consumer, E-Commerce, Marketplace, Climate & Sustainability, Enterprise, SaaS",Late Stage,2003,Bjarne Kveim Lie,395,165,"€8,000,000","€150,000,000","€3,700,000,000",office@verdane.com
,Verity Ventures,https://www.verityventurepartners.com/,USA,San Francisco,"Consumer, Food & Beverage, E-Commerce, Health & Wellness",Early Stage,2021,Tina Bou-Saba,8,,,,,info@verityventurepartners.com
,Veronorte,https://veronorte.com,Colombia,Medellín,"Enterprise, SaaS, Transportation, Healthcare, Energy, Fintech","Early Stage, Series A, Series B, Series C, Late Stage",2012,"Camilo Botero, Felipe Valencia",23,0,"$5,000,000","$10,000,000",,info@veronorte.com
,Versant Ventures,https://versantventures.com,"Switzerland, USA, Canada","Basel, San Francisco, New York, San Diego, Toronto, Vancouver","Healthcare, Biotech","Late Stage, Series A, Series B, Series C",1999,"Barbara Lubash, Brian Atwood, Donald B. Milder, Rebecca Robertson, Samuel Colella, William Link",355,99,,,"$3,300,000,000",+1 (415) 801-8100
,Verstra Ventures,https://verstraventures.com,Canada,Toronto,"Enterprise, SaaS",Late Stage,2018,Matan Hazanov,9,,"$500,000","$2,000,000",,
,Vertex Ventures,https://vertexventures.sg,"Singapore, India, Indonesia, Thailand","Singapore, Bangalore, Jakarta, Bangkok","Fintech, Internet & Mobile, Crypto & Blockchain, Consumer, Food & Beverage, Enterprise, Marketplace, Agriculture","Seed, Series A, Series B",1988,"Jonathan Heiliger, Yoram Oron",65,7,"$1,000,000","$10,000,000","$1,900,000,000",hello@vertexventures.com
