Accelerator / Incubator,Website,Country,City,Industries,Founders,Founded Date,Number of Investments,Number of Exits
Viavigo,http://www.zfv.es/viavigo/,Spain,Nigrán,Industry Agnostic,,2013,,
X-Europe for Investors - HealthTech,https://www.xeurope.eu/,The Netherlands,Amsterdam,"HealthTech, Biotech, AgTech, AI, Smart Cities, Sustainability, Spacetech, FinTech",,,,
H2A Ventures,http://www.h2aventures.com,Spain,Barcelona,Technology,,2009,,
Xandance & Partners GmbH,https://www.xandance.com,Switzerland,Stäfa,"Sustainability, Food Security, FoodTech, AgTech",Werner Schünemann,2018,,
PowerHUB,http://powerhub.cz/,Czech Republic,Prague,"Mobility, Energy, ICT, Smart Cities, Legaltech",,2015,,
EthAum Venture Partners,https://ethaum.com/,Singapore,Singapore,"AI, VR, AR, Blockchain, Data Science, IoT, Robotics",Pankaj Gupta,,,
Innovyz,http://www.innovyz.com/,Australia,Adelaide,"Enterprise, Gaming",Philip Vafiadis,2012,,
PwC's Accelerator,http://www.pwcaccelerator.com,Luxembourg,Luxembourg,"Automotive, Hospitality, Entertainment, Media, Technology, Real Estate, Transportation, Logistics, Retail",,2011,,
100K Ventures,https://100kventures.org/,United States,Flint,Industry Agnostic,"David Ollila, Meena Harris, Michael Nutter, Nirel Levi, Phil Hagerman, Reshma Saujani, Robert Wolf, Soledad O’Brien, Victor Cruz",2018,,
Startup Leiria,https://www.startupleiria.com/,Portugal,Leiria,"Industry 4.0, Technology",,2018,,
REDESSA,http://www.redessa.cat/,Spain,Reus,Industry Agnostic,,,,
Luxembourg-City Incubator,https://www.cityincubator.lu/,Luxembourg,Luxembourg,"Urbantech, Environment, Commerce, Construction Tech, Tourism, Logistics",,2017,,
RevTech Labs,http://revtechlabs.com,United States,Charlotte,"FinTech, InsurTech","Adam Hill, Dan Roselli",2012,,
Champions Group,http://www.championsgroup.com/,India,Bangalore,"Data, Hospitality, Real Estate, Fashion, Lifestyle, Media, Entertainment, Automotive, Medical Products, Health, Fitness, Logistics","Hema Malini Nidamanuri, Subhakar Rao Surapaneni",,,
FTh,http://fth.by/,Belarus,Minsk,FinTech,Alexander Bulah,2018,,
Toilet Board Coalition,https://www.toiletboard.org/,Switzerland,Geneva,WaterTech,,2014,,
High-Tech SeedLab,https://hightechseedlab.com/,Germany,Berlin,"Technology, Digital Technology, Life Sciences, Chemicals",,2015,,
Wilkes-Barre Connect,https://www.wyomingvalleychamber.org/wilkes-barre-connect/,United States,Wilkes Barre,Industry Agnostic,,,,
Språngbrädan Investment Readiness,https://connectsverige.se/ost/for-entreprenorer/sprangbradan-investment-readiness_en/,Sweden,Stockholm,"Technologies, Healthcare, EdTech",,,,
Metavallon,http://www.metavallon.org,Greece,Athens,Technology,Alexandra Choli,2011,,
Foundry,https://www.foundryftlab.com/,France,Paris,Fashion,,2019,,
CANBE Innovation Center,https://www.canbe.biz/,United States,Hazleton,Technology,,,,
MEnt,http://www.mentproject.eu/,Germany,Berlin,"Education, Healthcare",,,,
Esadecreapolis,https://www.esadecreapolis.com,Spain,Barcelona,Information Technology,Edgar Jordà,2005,,
FoodTech Accelerator,https://www.foodtechaccelerator.io,Italy,Milan,"FoodTech, AgTech",,2018,,
Talent Garden Digital Entrepreneurship Progam 2020,https://talentgarden.org/global/project-digital-entrepreneurship-summer-program/,Austria,Vienna,"Technology, HealthTech",,,,
Venture Atlanta,http://ventureatlanta.org/,United States,Marietta,"SaaS, Technology",,2007,,
Mashauri Limited,https://mashauri.org,United Kingdom,London,Industry Agnostic,"Simon Gifford, Victor de la Torre Russis",2013,,
Quake Capital Europe,https://www.quakecapital.com/europe/cologne,Germany,Cologne,"Technology, Consumer Goods","Glenn Argenbright, Kai Buehler, Priscilla Pesci",,,
Alpha Deal Group,http://www.alphadealgroup.com,United Kingdom,London,"Infrastructure, Oil, Gas, Metals, Mining, Cleantech, Emerging Technology, Healthcare, Life Sciences, Consumer, Technology",,2012,,
Beta-Start,http://www.beta-start.com/,Portugal,Lisbon,Industry Agnostic,,,,
Greater Philadelphia Alliance for Capital and Technologies,http://philadelphiapact.com/,United States,Philadelphia,"HealthTech, FinTech, MedTech, SaaS, Life Sciences, Technology",,,,
Rzeszów Startup Accelerator,https://rzeszowstartup.pl/,Poland,Rzeszów,"Mobile Applications, Gaming, Satellite Technologies EdTech",,,,
Climate Founders GmbH,https://www.climatefounders.com,Germany,Cologne,Climate Tech,,2020,,
C4DI,http://www.c4di.net,United Kingdom,Hull,"FoodTech, AgTech, HealthTech, FinTech",John Connolly,2013,,
Test Farms,https://www.eitfood.eu/entrepreneurship/projects/test-farms/#,Belgium,Leuven,"Food, Technology, AgTechnology, Aquaculture, Nutrition, Education",,,,
UPTEC,http://uptec.up.pt/en,Portugal,Porto,"Energy, Health, Food, Biotech, Information Technology, Architecture",,2007,,
Starfleet,https://aeternitystarfleet.com/,Bulgaria,Sofia,Blockchain,,,,
Innovation Incubator Inc.,http://www.innovationincubator.com,United States,New York,"FinTech, Healthcare, InsurTech","Antony Satyadas, Mahesh Nair, Matt Kumar, Umesh Harigopal",2015,,
Royal Academy of Engineering Enterprise Hub,https://enterprisehub.raeng.org.uk,United Kingdom,London,Technology,,2013,,
MediaMatters,http://mediamatters.vc/,The Netherlands,Hilversum,"AdTech, Media, Social Media, Technology",,,,
NEOMA EdTech Accelerator,http://startuplab.neoma-bs.fr/fr/neoma-edtech-accelerator/,France,Mont-Saint-Aignan,"EdTech, Healthcare",,,,
Moonshot,https://www.moonshotspace.co/#,Australia,Melbourne,Spacetech,Troy McCann,2017,,
Bridgeworks Enterprise Center,https://allentownedc.com/bridgeworks/,United States,Allentown,Manufacturing,,1989,,
Tetuan Valley,http://www.tetuanvalley.com,Spain,Madrid,"Technology, Software","Alex Barrera, Bernardo de Tomas, Josep Amoros, Luis Rivera",2009,,
digitalHUB Aachen,https://aachen.digital/,Germany,Aachen,Information Technology,,2015,,
Female Founders Accelerator,http://femalefounders.hatchenterprise.org,United Kingdom,London,"Technology, EdTech",,,,
The London City Incubator,https://www.city.ac.uk/research/research-and-enterprise/getting-started/city-schemes/london-city-incubator,United Kingdom,London,EdTech,,,,
The Cannon Community,https://www.thecannon.com/,United States,Houston,Industry Agnostic,Lawson Gow,2017,,
Give Lively,https://www.givelively.org,United States,New York,Technology,,2015,,
SELLALAB,http://www.sellalab.net/,Italy,Biella,"Design, Life Science, MedTech, Automotive, Energy, Space, Robotics, Ecommerce Services, Textile, Fashion Tech, Tourism, Culture, Entertainment, AgTech, HRtech, FinTech, InsurTech, Media",,,,
NCV Group LLP,https://www.ncvgroup.co.uk,United Kingdom,London,Industry Agnostic,"Ajaz Ahmed, Mudassar Ahmed",2021,,
Binkplus Incubator,http://www.binkplus.pl,Poland,Kraków,"Technology, EdTech",Ian Scarffe,2011,,
Hustle Accelerator,https://www.f6s.com/hustleaccelerator/about,United Kingdom,London,Software Technology,,,,
bIoTope,http://www.biotope-project.eu/,Germany,Berlin,"IoT, Technology",,,,
Protechting,http://www.protechting.pt/,Portugal,Lisbon,"HealthTech, InsurTech",,,,
Oslo International Hub,https://oslointernationalhub.com,Norway,Oslo,Industry Agnostic,Jørn Lein-Mathisen,2014,,
ToasterLAB,http://toasterlab.vitagora.com/,France,Dijon,"FoodTech, AgTech",,2016,,
OFF7,https://off7.ouest-france.fr/,France,Rennes,"Media, Food, Insurance",,,,
ESADE EWorks Accelerator,http://www.esade.edu/en/get-inspired/entrepreneurship/make-it-real/eaccelerator,Spain,Barcelona,"Biotech, Technology",,,,
Embarc Collective,https://www.embarccollective.com/,United States,Tampa,"FinTech, Healthcare, RetailTech",,2018,,
BlockchainLab,http://www.blockchainlab.it/,Italy,Milan,"FinTech, Cryptocurrency, Blockchain",,2016,,
Werkstaette Wattens,http://www.destination-wattens.at/,Austria,Wattens,"Mobility, Applied Research, Education",,2015,,
Aurik Business Accelerator,http://www.aurik.biz/,South Africa,Johannesburg,Industry Agnostic,,2002,,
Co: Collective,http://www.cocollective.com,United States,New York,"EdTech, Fashion, Health, Wellness, Technology, Food, Beverage",Rosemarie Ryan,2010,,
Young Leaders Club Entrepreneurship,http://youngleadersclub.org/entrepreneurship/,Romania,Bucharest,"Automotive, Banking, Healthcare, HealthTech, It Management, Software",,,,
Peninsula Open Innovation,https://peninsula.co/,Spain,Barcelona,Industry Agnostic,,2012,,
L'Accélérateur,http://laccelerateur.fr/,France,Paris,"Software, Wellness, Beauty, Food, Home Living, FinTech, Content Production",,2012,,
Innsomnia,http://www.innsomnia.es/,Spain,Valencia,"FinTech, InsurTech, HealthTech, AgTech, Industry 4.0, Smart Ports, Logistics",,2016,,
FOUNDAMENTA,http://rinascimentisociali.org/foundamenta-eng/,Italy,Torino,"EdTech, Healthcare, Platform Software",,,,
Inovexus,http://www.Inovexus.com,United States,Beverly Hills,"AI, Blockchain, Metaverse",,2013,,
Zentrum Für Angewandte Technologie,http://www.zat.co.at,Austria,Leoben,Industry Agnostic,,,,
THE COMBINATOR AG,https://thecombinator.com/,Liechtenstein,Vaduz,Climate Tech,Rudolf Hilti,2018,,
EnergySpin,http://energyspin.fi/,Finland,Vaasa,"Energy, Technology",,,,
Environment Park,https://www.envipark.com/en/,Italy,Turin,Energy Sustainebility,,1996,,
AeroBased,https://www.aerobased.com/,Turkey,Istanbul,"IoT, AI, Big Data, Blockchain, Digital Finance, Real Estate, Sustainability, Spacetech",Onur Guclu,2020,,
Startup LAB,https://www.startuplab.pt/en/,Portugal,Lisbon,"Technology, Software",,,,
Innovation Depot,http://innovationdepot.org/,United States,Birmingham,"Healthcare, Technology, Consumer Goods, Biotech",,1986,,
Startup Lewisburg,https://www.bucknell.edu/azdirectory/small-business-development-center/sbdc-services/startup-lewisburg,United States,Lewisburg,Industry Agnostic,,,,
comdirect Start-up Garage,http://comdirect-garage.de/,Germany,Hamburg,"Travel, Mobility, Healthcare",,2015,,
Vizero,http://www.vizero.com,United Kingdom,London,Technology,Emil Jersling,2004,,
InboundMuse,http://www.inboundmuse.com,Malta,Zabbar,"Blockchain, AI","Neville Bezzina, Tyron Lloyd Baron",2014,,
WaterVent,http://www.watervent.com/,Germany,Berlin,WaterTech,,2010,,
Soft-Landing,http://soft-landing.eu/,Lithuania,Vilnius,Industry Agnostic,,,,
IncubEx,https://theincubex.com/,United States,Chicago,Climate Tech,,2016,,
1MillionStartups,http://www.1millionstartups.com,Austria,Vienna,Industry Agnostic,Selma Prodanovic,2017,,
Entrepreneur Engine,http://www.entrepreneur-engine.com,France,Paris,Industry Agnostic,,2014,,
BootUP Ventures,http://www.bootupventures.com/,United States,Menlo Park,Industry Agnostic,"Marco ten Vaanholt, Mukul Agarwal",2013,,
Nodriza Tech,https://nodrizalab.com,Spain,Zaragoza,Technology,,2019,,
Muiv.Lab,https://muivlab.ru/,Russia,Moscow,Industry Agnostic,,,,
Carbondale Technology Transfer Center,https://www.4cttc.org/,United States,Carbondale,Technology,,1996,,
Venture Noire,https://www.venturenoire.org/,United States,Bentonville,"Beauty, Cosmetics, Retail","Bjorn Simmons, Keenan Beasley",2019,,
Fishing Accelerator,http://fishing-tech.com/en/,Spain,Vigo,Technology,"Carmen González García, Genma Laso, Nicolas Troncoso, Xoan Martinez Reboredo",,,
BlockIS - Croatia,https://blockis.eu/,Croatia,Varazdin,Blockchain,,,,
The Hacking School,http://www.thehackingschool.com/,India,Hyderabad,"Web Development, Cyber Security, Data Science",Meraj Faheem,,,
LaCabine,https://www.la-cabine.net/,France,Nantes,Industry Agnostic,,,,
InnoPeaks,https://innopeaks.ch/,Switzerland,Martigny,"HealthTech, InsurTech",,,,
Business Factory Auto,http://www.bfauto.es/en/,Spain,Vigo,Automotive,,,,
The Collider,https://thecollider.tech/,Spain,Barcelona,"Healthcare, Productivity Software, Communication Software, Pharmaceutical, Wireless Communications Equipment",Francesc Saldaña,2017,,
Imagine H2O,http://www.imagineh2o.org,United States,San Francisco,WaterTech,"Matt Evans, Scott Bryan, Tamin Pechet",2007,,
La Fabrique des Mobilités,http://lafabriquedesmobilites.fr/en/,France,Sophia Antipolis,Transportation,,2015,,
FK Accelerate,https://fk-accelerate.co.uk,United Kingdom,Altrincham,Construction,,,,
Mana Up,https://manauphawaii.com/,United States,Honolulu,"Retail, Beauty, Food, Beverage","Brittany Heyd, Meli James",2017,,
BLaO,https://blao.co/,United Kingdom,London,Technology,Martin Malii-Karlsson,2009,,
Launch Academy,https://ore.catapult.org.uk/research-innovation/strategic-programmes/launch-academy/,United Kingdom,Glasgow,"Renewable Energy, Information Technology",,,,
Blue Bio Value,https://www.bluebiovalue.pt/,Portugal,Paço De Arcos,Biotech,,,,
SURFnCODE,http://www.surfncode.io,Portugal,Porto,"Software, AI",Shadi Mahassel,2018,,
US Market Access Center,http://usmarketaccess.com,United States,San Francisco,Industry Agnostic,,1995,,
BIC Araba,http://www.bicaraba.eus,Spain,Vitoria-Gasteiz,"Electronics, Information Technology, Communications",,1988,,
Upekkha Value SaaS Accelerator,http://www.upekkha.io,United States,Dover,SaaS,"Prasanna Krishnamoorthy, Shekar Nair, Thiyagarajan Maruthavanan (Rajan)",2017,,
Firestarter,https://www.firestarter.is/,Iceland,Reykjavík,"FinTech, Blockchain, Software",,,,
Berkeley Blockchain Xcelerator,https://www.xcelerator.berkeley.edu/,United States,Berkeley,"Gaming, FinTech, IoT, Sports, Energy, Healthcare",,2019,,
Terenure Enterprise,http://www.terenure-enterprise.ie/,Ireland,Terenure,Industry Agnostic,,1984,,
Magis Teams,https://magisteams.com/,Spain,Barcelona,Industry Agnostic,,2017,,
CEEI Valencia,http://www.ceei-valencia.com,Spain,Paterna,Industry Agnostic,,1991,,
Docklands Innovation Park,http://www.docklandsinnovation.ie/,Ireland,Dublin,Industry Agnostic,,,,
6AM Accelerator,https://6am.no/,Norway,Trondheim,Industry Agnostic,,,,
HR Tech,http://hrtech.slingshotters.com/,Australia,Sydney,"HRtech, Recruitment",,,,
A1 Start Up Campus,http://www.a1startup.net/,Austria,Vienna,"Technology, Environment, Sustainability, Cyber Security, Data",,,,
Gamebcn,http://gamebcn.co/,Spain,Barcelona,"Gaming, Technology",Simon Lee,2014,,
Startalia.com,http://www.startalia.com,Italy,Roma,FinTech,,2012,,
CEEIM,http://www.ceeim.es/,Spain,Murcia,"Software Development, Information Technology, AI, AgTech",,2007,,
CIEM Zaragoza,http://www.ciemzaragoza.es/,Spain,Zaragoza,"HealthTech, Retail",,2011,,
Sunrise valley,http://sunrisevalley.lt,Lithuania,Vilnius,Technology,,2003,,
Kirchner Food Fellowship,https://kirchnerfellowship.com/,United Kingdom,Birmingham,"Agriculture, Food",,,,
AccelerateMe,https://accelerateme.co,United Kingdom,Manchester,Industry Agnostic,,2008,,
Velocity Growth,https://growthuniversity.io,United States,San Francisco,Industry Agnostic,"Craig Zingerline, Jason Calacanis, Jen Bryan",,,
Cobuild Lab,https://cobuildlab.com,United States,Miami,"Logistics, Supply Chain, Healthcare, Retail, Transportation, Entertainment",Angel Lacret,2018,,
Nyuko,https://nyuko.lu,Luxembourg,Luxembourg,"Healthcare, Technology",,,,
CEEI Principado de Asturias,http://www.ceei.es/,Spain,Gijón,"Health, Sustainable Mobility, Tech",,1994,,
Intesa Sanpaolo Start Up Initiative,http://www.startupinitiative.com/en/index.html,Italy,Milan,Technology,,2009,,
Mundi Lab,http://www.mundi-lab.com/,Spain,Madrid,"Lifestyle, Insurance, Technology",,,,
Capital SCF,http://www.capitalscf.com,United Kingdom,London,"Technology, FinTech",James Clark,2008,,
KATANA Accelerator,http://katanaproject.eu/,Germany,Stuttgart,AgriFood,,,,
NESsT,http://www.nesst.org/,United States,San Francisco,Industry Agnostic,Nicole Etchart,1997,,
NRGY HUB Scaleup Program,https://www.scalehere.com/,Sweden,Västerås,Energy,,,,
BW Accelerate,http://www.bwaccelerate.com/,India,New Delhi,Industry Agnostic,Ashu Agrawal,,,
Business Factory Aero,http://www.bfaero.es/en/,Spain,Lugo,Aerospace,,2018,,
IdeaGist,https://ideagist.com,United States,Minneapolis,"Software, Healthcare","Azeem Amir, Hassan Syed, Rahul Ranjan, Shahnawaz Khan, Vikas Gupta",2014,,
V-Incube8,http://www.vincube8.com/,India,Noida,"FinTech, HealthTech, AI, Blockchain, SaaS",Kaushik Sen,2017,,
Orizont,http://www.orizont.es/,Spain,Pamplona,AgriFood,,2015,,
EU-XCEL,http://euxcel.eu/,Ireland,Cork,Industry Agnostic,,2015,,
Entrepreneurship Zentrum Witten,https://ezw.de/,Germany,Witten,Industry Agnostic,,,,
İTÜ Çekirdek,http://www.itucekirdek.com,Turkey,Istanbul,"Technology, Design",,2011,,
Venturr,http://venturr.com/,United Kingdom,London,"Data Health, Energy, Sports, Property, Travel, Media, Automotive, Retail",Kam Rafique,,,
Andalucía Open Future,https://andalucia.openfuture.org/,Spain,Sevilla,"Educational Software, FinTech, Logistics, Healthcare",Francisco Javier Molina Soler,,,
Start-up Center Start Up Tirol GmbH,https://www.startup.tirol,Austria,Innsbruck,Industry Agnostic,,,,
SpielFabrique,http://spielfabrique.eu/en/home-2/,Germany,Düsseldorf,Gaming,,2016,,
coworkit,https://coworkit.de/,Germany,Solingen,Industry Agnostic,,2016,,
International Security Accelerator,https://isa.corkbic.com/,Ireland,Cork,"Cyber Security, IoT, Blockchain, AI, Health, Bioinformatics, Defence, Critical Infrastructure, Logistics",,,,
TechTown,http://techtowndetroit.org/,United States,Detroit,Industry Agnostic,,2004,,
Discoveries,http://www.startupdiscoveries.com/,Portugal,Lisboa,"Big Data, Productivity, Mobility, Hospitality, Entertainment, Ecommerce, Crowdsourcing, SaaS, Marketplaces, AR",,,,
Allen & Overy,http://www.allenovery.com/advanceddelivery/fuse/Pages/default.aspx,United Kingdom,London,"Cyber Security, FinTech, Technology, AI",,,,
Motherland,https://motherland.earth/,Germany,Berlin,"Supply Chains, Technology",Thomas Schindler,,,
Nexes,http://www.nexesforallac.cat/,Spain,Girona,"Ecommerce, Hospitality, Sports",,2008,,
EGI Booster,http://egi-booster.com/,Spain,Barcelona,"RetailTech, Martech, AdTech, Fashion Tech",,2010,,
3DFactory Incubator,https://www.dfactorybcn.org/,Spain,Barcelona,"AI, Robotics, Cyber Security",,,,
Jefferson Lab,http://jlab.org,United States,Newport News,"Research, Technology, Energy",,1984,,
Call for Ideas,http://vittoriahub.com/it/call-for-ideas/,Italy,Milan,"AI, IoT, Dlt Technologies, Blockchain",,,,
Landa Labs,http://www.landalabs.com/,Israel,Rehovot,Nanotechnology,,2013,,
accent Inkubator GmbH,http://www.accent.at/home.html,Austria,Wiener Neustadt,Industry Agnostic,,,,
Wise Guys Cyber,https://startupwiseguys.com/cybernorth/,Estonia,Tallinn,Cyber Security,,,,
WECOOK,https://www.wecook.co.kr/,South Korea,Seoul,"Food, Beverages",,2015,,
Geovation Spring '20 - PropTech,https://www.f6s.com/geovationspring20-proptech/about,United Kingdom,London,"Real Estate, Hospitality",,,,
4.0 Schools,http://4pt0.org/,United States,New Orleans,EdTech,Matt Candler,,,
Hjärna.Hjärta.Cash,http://www.hhc.nu/,Sweden,Stockholm,Social Impact,,2009,,
Cascadia CleanTech Accelerator,http://www.cascadiacleantech.org/,United States,Portland,"Cleantech, Hardware",,,,
Junior Achievement of New York,http://www.jany.org,United States,New York,Industry Agnostic,,1929,,
The Hatchery,http://www.hatchery.vc,United States,New York,Technology,Yao Huang,2007,,
Downtown Project,https://downtownproject.com/,United States,Las Vegas,"Hospitality, Real Estate, Technology",,2012,,
Gold Coast TechSpace,http://gctechspace.org,Russia,Rodina,"Software, Hardware, Robotics, Green Technology",,2011,,
"IDK Distribution, Inc",http://idk.com,United States,San Diego,"Manufacturing, Logistics",,2014,,
OXO Cybersecurity Lab,https://cybersecurity.oxolabs.eu/,Hungary,Budapest,Cyber Security,"Csaba Krasznay, Peter Oszko",2019,,
Gaza Sky Geeks,http://www.gazaskygeeks.com/en/,Palestinian Territory,Gaza,Information Technology,,2012,,
Futurism Programme,https://www.visitdubai.com/en/department-of-tourism/futurism-programme,United Arab Emirates,Dubai,"Hospitality, Tourism, Hotels, Resorts",,,,
B-Sprouts,https://www.b-sprouts.com/,Belgium,Brussels,"Education, Ecommerce, Technology",,,,
Grace,https://www.grace-accelerator.de/,Germany,Berlin,Industry Agnostic,,2017,,
IDEALondon,http://idea-london.co.uk/,United Kingdom,London,Industry Agnostic,,2013,,
MeWe360,http://www.mewe360.com/,United Kingdom,London,EdTech,Kevin Osborne,2012,,
Krinova,https://www.krinova.se/,Sweden,Kristianstad,FoodTech,,1998,,
The Startup Lab,http://advanced-hindsight.com/startup-lab/,United States,Durham,"Healthcare, Financial",,,,
SportsTech Ireland,http://sportstechireland.com,Ireland,Limerick,"Sportstech, Technology",,,,
SPROCKIT,http://sprockit.com,United States,Washington,"Media, Entertainment, Technology",,2012,,
Nabi,http://www.nabi.ca/,Canada,Saint Albert,Real Estate,,1989,,
The Humanitarian Accelerators,https://government.ae/en/information-and-services/charity-and-humanitarian-work/humanitarian-accelerators,United Arab Emirates,Dubai,"Healthcare, EdTech, Technology",,,,
EIT Health Wild Card,https://wildcard.eithealth.eu,Germany,Munich,"HealthTech, Life Sciences, Education",,2017,,
MAN Impact Accelerator,http://impact.man.eu/,United States,Frankfort,"Transport, Logistics, AgTech, HealthTech, MedTech",,2017,,
Le Camp,http://lecampquebec.com/en/,Canada,Quebec,"Technology, Biotech, Energy",,2015,,
Vulcanic,http://www.vulcanic.it/,Italy,Catania,Industry Agnostic,,,,
DELITELABS,http://www.delitelabs.com,The Netherlands,Amsterdam,"EdTech, Technology",,2015,,
Travel Impact Lab,https://www.travelimpactlab.nl/,The Netherlands,Utrecht,Sustainability,,,,
Forge Accelerator,http://forgeforward.in/,India,Coimbatore,"Aerospace, Defence, HealthTech, Future Cities, Industrial Tech, Sustainability","Shankar Vanavarayar, Vishwanathan Sahasranamam",2014,,
Innova Day,http://www.innovaday.it,Italy,Modena,"Nanotech, Biotech, Biomed",,2009,,
Agora Partnerships,https://agora2030.org/,United States,Washington,Environmental Sustainability,"Ben Powell, Ricardo Teran Teran",2005,,
Creators Expedition,https://www.creators-expedition.com/,Austria,Graz,Autotech,,,,
Present Your Startup,http://www.presentyourstartup.nl/,The Netherlands,Haarlem,Industry Agnostic,,2014,,
Enso XL,https://www.optima-x.org/enso-xl-accelerator,Greece,Athens,"AI, Big Data, Cleantech, Cyber Security",,,,
H+ Innovation Programme,https://www.insurtech-munich.com/h-plus-innovation-programme-dmac/,Germany,München,"HealthTech, Cyber Security, AI",,,,
Venture Gym,http://www.venturegym.fi,Finland,Kotka,"Video, Mobile Games, ICT, Health, Wellbeing, Renewable Energy, FinTech",,2010,,
FI Boost,https://fiboost.com/,Spain,Santa Coloma De Cervelló,Industry Agnostic,"Ferran Tomas Villalta, Ivan Ruiz, José Miguel Lara Gómez, Miguel Carretero Rodríguez",,,
Tetuan Valley Startup School,https://www.tetuanvalley.com/startupschool,Spain,Madrid,Industry Agnostic,,,,
Capital Accelerate & Scale Tech Superstars,https://www.capitalenterprise.org/casts/,United Kingdom,London,"HealthTech, MedTech",,,,
Insight Accelerator Labs,http://insightpd.com/accelerator/insight-accelerator-labs/,United States,Chicago,Healthcare,Steve McPhilliamy,2012,,
Intel Education Accelerator,http://www.intel.com/content/www/us/en/education/accelerator/education-accelerator-home.html,United States,Redwood City,"EdTech, Technology",,,,
Startup Haven,http://startuphaven.com,United States,Seattle,"Software, Platforms, Marketplaces, SaaS, AI, Cyber Security, Machine Learning",Bob Crimmins,2006,,
LAB Creative Thinking,http://www.labcreativethinking.com/,Italy,Milan,Industry Agnostic,,2016,,
StepFWD,https://stepfwd.today,Romania,Bucharest,Industry Agnostic,,2019,,
Retail Innovation Discovery by L Marks,https://retailinnovationdiscovery.com/,United Kingdom,London,"Fashion, Retail",,,,
Vencapital,https://www.vencapital.org/,United States,Cambridge,Industry Agnostic,"Anna Phan, Henry Ogbuagu",2018,,
SHIFT Camp,http://www.shifts.se,Sweden,Stockholm,Sustainability Science,,2007,,
AIA Accelerator,http://aia-accelerator.com/,Hong Kong,Hong Kong,"Healthcare, Insurance",,,,
Fast Forward Accelerator,https://foodlab.hamburg/,Germany,Hamburg,"Food, Restaurant",,2019,,
SAP.iO Foundry Paris,https://sap.io/foundry-paris/,France,Paris,Industry Agnostic,,,,
Founders Loft,https://www.foundersloft.se/,Sweden,Gothenburg,Social Impact,,1999,,
growITup,http://www.growitup.it/,Italy,Milan,Industry Agnostic,,,,
Manitoba Technology Accelerator,http://www.mbtechaccelerator.com/,Canada,Winnipeg,"Science, Technology",Wenfei Zhang,2005,,
OpenNest,http://opennest.co,United States,Venice,Industry Agnostic,"Kris Bjornerud, Max Goldstein, Michael Kamins, Tyler Wakstein",2016,,
InSITE Fellows,http://www.insitefellows.org/,United States,New York,"Software, Hardware, Healthcare, Life Sciences, Education, Consumer Goods, Data, AI, Machine Learning, Entertainment, Media, Social Impact",Josh Ephraim,1999,,
Impact Hub Accra,http://hubaccra.com/,Ghana,Accra,Industry Agnostic,"Heather Cochran, John Parmigiani, John Roberts, William Senyo",2013,,
From Start-to-Table,https://www.fromstart-to-table.com/,Portugal,Lisbon,"Food, Beverage, Restaurant Technology",,2018,,
Plug and Play-ADGM,https://www.plugandplaytechcenter.com/abu-dhabi/,United Arab Emirates,Abu Dhabi,"FinTech, Healthcare, Industry 4.0",,2006,,
ChelPipe Accelerator in Pipe Industry,https://chelpipe.generation-startup.ru/en/,Russia,Moscow,Piping,,,,
Innovation Centre Banja Luka,http://www.icbl.ba,Bosnia And Herzegovina,Banja Luka,Industry Agnostic,,,,
Startup Lighthouse Fintech DDW,http://startuplighthouse.eu,Lithuania,Vilnius,FinTech,,,,
HubBOG,http://hubbog.com/,Colombia,Bogotá,Information Technology,Rene Rojas,2010,,
Incubadora Criativa do Alto Minho,http://vianacriativa.pt,Portugal,Viana Do Castelo,Technology,Paulo Caldeira,2007,,
Block.IS Cluster Mission Regensburg,https://blockis.eu/apply-now/cluster-missions/,Germany,Regensburg,Blockchain,,,,
Think Beyond Plastic,https://www.tbpinnovate.com/entrepreneurs,United States,Menlo Park,"Agriculture, Textile, Construction, Transportation",,2012,,
Global Startup Ecosystem,http://globalstartupecosystem.com/,United States,New York,Industry Agnostic,,,,
BlockIS - Montenegro,https://blockis.eu,Montenegro,Podgorica,"Blockchain, AgriFood, Logistics",,,,
The Business Collective Pte Ltd,https://www.thebusinesscollective.sg,Singapore,Singapore,"Healthcare, Clean Energy, Education, Security, Sanitation, Ecommerce, Technology",Rajesh Nair,2012,,
Strong Atomics,https://strong-atomics.com/,United States,San Francisco,Nuclear Energy,,,,
TVLP Institute Silicon Valley,http://www.tvlp.co/,United States,Menlo Park,Technology,,2014,,
Youngstown Business Incubator,http://www.ybi.org,United States,Youngstown,"Technology, Advanced Manufacturing, B2B, Women",,1995,,
Creative Startups LABS: Azores,https://www.creativestartups.org/,Portugal,Angra Do Heroísmo,Industry Agnostic,,,,
Hatch,https://hatch.lk/,Sri Lanka,Colombo,"Cleantech, MedTech, FinTech, EdTech, AI","Brindha Selvadurai-Gnanam, Jeevan Gnanam, Nathan Sivagananathan",2018,,
To the sea and countryside,https://www.tilsjavarogsveita.is/,Iceland,Reykjavík,"Food, Agriculture, Marine Industry, Retail",,,,
Investerare Sydost,http://investeraresydost.se/,Sweden,Kalmar,Industry Agnostic,,,,
Ljubljana University Incubator,http://lui.si,Slovenia,Ljubljana,"Healthcare, Social Impact",,2004,,
Startup Lighthouse MedTech DDW,http://startuplighthouse.eu/,Ireland,Dublin,MedTech,,,,
Propellant Labs,https://www.propellantaccelerator.com/,United States,Los Angeles,Industry Agnostic,,,,
OCBC Accelerator,http://theopenvaultatocbc.com/,Singapore,Singapore,InsurTech,,2016,,
